SourceFile,FileName,CreateDate,GPSPosition,UserComment
D:/Data/20220926_120701_Jl.-Nyak-ada-kamil-ll-0+700.JPG,20220926_120701_Jl.-Nyak-ada-kamil-ll-0+700.JPG,2022:09:26 12:07:01,"5 deg 32' 35.87"" N, 95 deg 19' 24.00"" E","Jl. Nyak ada kamil ll
0+700"
D:/Data/20220926_121355_Jl.-Baperis-0+000.JPG,20220926_121355_Jl.-Baperis-0+000.JPG,2022:09:26 12:13:55,"5 deg 32' 52.39"" N, 95 deg 19' 16.06"" E","Jl. Baperis
0+000"
D:/Data/20220926_121425_Jl.-Baperis-0+050.JPG,20220926_121425_Jl.-Baperis-0+050.JPG,2022:09:26 12:14:25,"5 deg 32' 50.67"" N, 95 deg 19' 15.98"" E","Jl. Baperis
0+050"
D:/Data/20220926_121436_Jl.-Baperis-0+100.JPG,20220926_121436_Jl.-Baperis-0+100.JPG,2022:09:26 12:14:36,"5 deg 32' 49.51"" N, 95 deg 19' 15.98"" E","Jl. Baperis
0+100"
D:/Data/20220926_121500_Jl.-Baperis-0+150.JPG,20220926_121500_Jl.-Baperis-0+150.JPG,2022:09:26 12:15:00,"5 deg 32' 48.40"" N, 95 deg 19' 15.85"" E","Jl. Baperis
0+150"
D:/Data/20220926_121516_Jl.-Baperis-0+200.JPG,20220926_121516_Jl.-Baperis-0+200.JPG,2022:09:26 12:15:16,"5 deg 32' 46.79"" N, 95 deg 19' 15.71"" E","Jl. Baperis
0+200"
D:/Data/20220926_121557_Jl.-Baperis-0+250.JPG,20220926_121557_Jl.-Baperis-0+250.JPG,2022:09:26 12:15:57,"5 deg 32' 45.44"" N, 95 deg 19' 15.49"" E","Jl. Baperis
0+250"
D:/Data/20220926_121622_Jl.-Baperis-0+300.JPG,20220926_121622_Jl.-Baperis-0+300.JPG,2022:09:26 12:16:22,"5 deg 32' 43.63"" N, 95 deg 19' 15.35"" E","Jl. Baperis
0+300"
D:/Data/20220926_121644_Jl.-Baperis-0+350.JPG,20220926_121644_Jl.-Baperis-0+350.JPG,2022:09:26 12:16:44,"5 deg 32' 41.76"" N, 95 deg 19' 15.24"" E","Jl. Baperis
0+350"
D:/Data/20220928_094518_Jl.-Alueblang-0+000.JPG,20220928_094518_Jl.-Alueblang-0+000.JPG,2022:09:28 09:45:18,"5 deg 32' 6.76"" N, 95 deg 19' 18.95"" E","Jl. Alueblang
0+000"
D:/Data/20220928_094555_Jl.-Alueblang-0+050.JPG,20220928_094555_Jl.-Alueblang-0+050.JPG,2022:09:28 09:45:55,"5 deg 32' 6.64"" N, 95 deg 19' 17.44"" E","Jl. Alueblang
0+050"
